,search-city,search-key,company,phno,actual-address,actual-tags
36,Mumbai,textile-manufacturer,"Fabric Trades in Subhash Nagar, Delhi",+(91)-9152478495,"Head Office 9/56, Subhash Nagar, Delhi - 110027, Opposite Ansal Tower","Readymade Garment Retailers, Readymade Garment Wholesalers, .."
37,Mumbai,textile-manufacturer,"Khem Chand Jain in Chandni Chowk, Delhi",+(91)-9152290480,"1290 Vaid Vada, Mali wara, Chandni Chowk, Delhi - 110006, Nai Sarak","Readymade Garment Retailers, Fabric Wholesalers, .."
38,Mumbai,textile-manufacturer,"Kalanjiyam in T Nagar, Chennai",+(91)-44-24323407,"Shop No 38, Ranganathan Street, T Nagar, Chennai - 600017, Near Railway Station","Readymade Garment Retailers, Tailors For Women, .."
39,Mumbai,textile-manufacturer,"Solitaire Home Furnishing in Panipat City, Panipat",+(91)-9152673551,"Origin Handloom, GT Road, Panipat City, Panipat - 132103, Opposite Pillar Number 47, Near-Railway Road","Blanket Wholesalers, Bed Sheet Manufacturers, .."
40,Mumbai,textile-manufacturer,"Raymond Ltd in Jk Gram-thane West, Mumbai",+(91)-22-61527000,"Pokhran Road No 1, Jk Gram-thane West, Thane - 400606, Adjacent to Sulochana Singhani School, J K Gram","T Shirt Manufacturers, Shirt Manufacturers, .."
41,Mumbai,textile-manufacturer,"Mj Market in Kalbadevi, Mumbai",+(91)-9699509348,"Zaveri Bazaar, Kalbadevi, Mumbai - 400002","Textile Manufacturers, Textile Wholesalers"
42,Mumbai,textile-manufacturer,"Ddecor Exports Pvt Ltd (Corporate Office) in Chakala-andheri East, Mumbai",+(91)-22-61152525,"Buiding No 14 , 5th Floor, Solitaire Corporate Park, Guru Hargovindji Marg, Chakala-andheri East, Mumbai - 400093, Opposite Mirador Hotel","Corporate Companies, Textile Manufacturers, .."
43,Mumbai,textile-manufacturer,"Saroj Texfab India Pvt Ltd in Vile Parle West, Mumbai",+(91)-22-26135207,"New Shubham Building ,Shop No 1, Station Road, Vile Parle West, Mumbai - 400056, Near Railway Station","Readymade Garment Retailers, Fabric Wholesalers, .."
44,Mumbai,textile-manufacturer,"Siyaram Silk Mills Ltd (Head Office) in Lower Parel, Mumbai",+(91)-022-30400500,"Office No B/5,Trade World, Senapati Bapat Marg, Lower Parel, Mumbai - 400013, Kamala Mills Compound Kamala City","Readymade Garment Retailers, Fabric Manufacturers, .."
45,Mumbai,textile-manufacturer,"Bombay Dyeing & Manufacturing Co Ltd (Head Office) in Ballard Estate, Mumbai",+(91)-022-22618071,"Neville House, J N Heredia Marg, Ballard Estate, Mumbai - 400001","Shirt Manufacturers, Bed Sheet Manufacturers, .."
